once a week,phys
I have a headache,phys
Not really,phys
I sleep just as fine,phys
I have chest burns when I breathe in,phys
"Yes, ever since I was a teenager",phys
It's too much,pract
I feel that it's my sense of humour that they won't accept,pract
"Back pain, most probably",pract
I don't have enough energy,pract
I feel that he is holding himself responsible,family
They are incredibly sas,family
I do,family
"Yes, I am so worried",family
My friends are losing interest in hanging out with me,family
I think it's depression,emotion
I feel like I should have taken better care of myself,emotion
I am not sure,emotion
I feel like talking to others isn't the same anymore,emotion
I use to find it way easier,emotion
I'm an atheist,spiritual
"No, thank you though",spiritual
I have no purpose left in me,spiritual
I feel nauseous when I stand up at first,phys
I am afraid people will notice what my skin looks like,phys
"the headaches tend to hit in the night, and then I lose sleep",phys
"the worry, the anxiety I feel",phys
it feels as if I had something stuck in my throat when I lie down,phys
I never had similar problems,phys
I am afraid my landlord will increase the rent with the contract renewal,pract
"No, the people at work are being very understanding",pract
it's the constant feeling of tiredness really,pract
"I am afraid of what will happen if I was no longer there for them, but I am doing my best while I'm here",pract
"Transports tend to be hot during peak times, which is not helping with me being unwell",pract
"No, she is there for me",family
I am worried about how my mother is coping,family
"No, I feel they are scared for the future they wanted with me ...",family
"No, they would have had to deal with my passing anyway",family
I don't have any friends :(,family
"I do not feel anxious anymore, just defeated",emotion
it's just all feels really unfair,emotion
it's the feeling of hopelessness that has been there since the beginning,emotion
"I do no think anyone can understand how I feel, really",emotion
I have always found it difficult,emotion
"I have always been christian more by upbringing than by choice, I feel my faith is weaker since diagnosis",spiritual
I no longer bother with it,spiritual
I have made peace with the past,spiritual
"I do not feel any worse off in that respect than I ever did, that just never felt important to me",spiritual
Only occasionally,phys
My hair is falling out,phys
It comes and goes. Mainly in my leg. It keeps me up at night.,phys
Throbbing in my leg,phys
I keep thinking I am suffocating. It makes me panic.,phys
"My skin has been dry, but moisturisers help.",phys
My income has gone down a lot since I have been ill. I cannot afford the bills let alone my rent.,pract
"No, not really. But I am worried about what will happen if I die. Who will support my wife and children.",pract
I am constantly out of breath. I just can't make my way around the house.,pract
"Not yet, but I worry that it will soon.",pract
"The costs are part of it, and any help will be very useful. But the public transport links to my house and bad, so I need the hospital transport very often.",pract
It may be because I have been more angry recently. It is all unfair.,family
"They are trying to be strong for me, but I can see that they are scared.",family
They are doing everything they can for me. But that makes me feel useless,family
"I love my children. They are strong, but I don't think they have accepted the situation.",family
I hardly get to see them now.,family
I worry about what will happen to my family.,emotion
Every day.,emotion
The lack of hope for the future.,emotion
I feel that no one understands how I am feeling. Also none of my friends live nearby.,emotion
Only because I don't want everyone to know what I am thinking.,emotion
Not at all.,spiritual
Of course. What is the point?,spiritual
No.,spiritual
Not so much,spiritual
